ITERATION,OBJECTIVE,COND[0],COND[1],COND[2],COND[3],VOLUME,SIZE,,,
17200,0.921253,0.09935,0.023296,0.039552,0.07016,0.014983,0.189028,,,
17300,0.921488,0.032825,0.022418,0.039677,0.070281,0.014981,0.189017,,,
17400,0.920298,0.041146,0.031905,0.038943,0.070699,0.014996,0.189094,,,
17500,0.921477,0.033117,0.022429,0.039675,0.070296,0.014981,0.189017,,,
17600,0.924208,0.101906,0.02595,0.040707,0.070428,0.014971,0.188962,,,
17700,0.921472,0.101473,0.022443,0.039684,0.070286,0.014981,0.189016,,,
17800,0.924472,0.038303,0.048285,0.040519,0.07062,0.015012,0.189089,,,
17900,0.921323,0.075373,0.022417,0.039678,0.070282,0.014981,0.189017,,,
18000,0.921487,0.032791,0.022419,0.039676,0.070283,0.014981,0.189017,,,
18100,0.928101,0.089382,0.033623,0.042902,0.072267,0.014945,0.188847,,,
18200,0.921491,0.032782,0.022417,0.039677,0.070276,0.014981,0.189017,,,
18300,0.921491,0.032781,0.022418,0.039677,0.070278,0.014981,0.189017,,,
18400,0.915643,0.107317,0.049274,0.039609,0.067078,0.01505,0.189358,,,
18500,0.921491,0.032791,0.022418,0.039677,0.070276,0.014981,0.189017,,,
18600,0.921494,0.032782,0.022416,0.039678,0.070272,0.014981,0.189017,,,
18700,0.921658,0.032894,0.023128,0.039621,0.070283,0.014982,0.189019,,,
18800,0.921493,0.033001,0.022418,0.039678,0.070272,0.014981,0.189017,,,
18900,1.888517,0.105464,0.909083,0.119068,0.371358,0.012304,0.17585,,,
19000,0.922789,0.09045,0.022545,0.039704,0.070283,0.014981,0.189018,,,
19100,0.921549,0.105142,0.022419,0.03968,0.070274,0.014981,0.189017,,,
19200,0.921349,0.056511,0.022416,0.039679,0.070274,0.014981,0.189017,,,
19300,0.921493,0.032783,0.022416,0.039678,0.070273,0.014981,0.189017,,,
19400,0.921386,0.095963,0.022515,0.039662,0.070259,0.014981,0.189019,,,
19500,0.921493,0.032792,0.022416,0.039678,0.070273,0.014981,0.189017,,,
19600,0.923184,0.087553,0.022427,0.039681,0.07027,0.014981,0.189017,,,
19700,0.921493,0.032796,0.022416,0.039678,0.070274,0.014981,0.189017,,,
19800,0.923328,0.089736,0.022974,0.039782,0.070288,0.01498,0.189013,,,
19900,0.921493,0.032782,0.022416,0.039678,0.070273,0.014981,0.189017,,,
20000,0.921493,0.032782,0.022416,0.039678,0.070273,0.014981,0.189017,,,
20100,0.923166,0.087888,0.022466,0.039679,0.070278,0.014981,0.189017,,,
20200,0.921493,0.032782,0.022416,0.039678,0.070273,0.014981,0.189017,,,
20300,0.921493,0.032781,0.022417,0.039677,0.070274,0.014981,0.189017,,,
20400,0.921495,0.032782,0.022415,0.039678,0.07027,0.014981,0.189017,,,
20500,0.921496,0.032781,0.022416,0.039678,0.07027,0.014981,0.189017,,,
20600,0.921495,0.032781,0.022416,0.039678,0.07027,0.014981,0.189017,,,
20700,0.921497,0.032782,0.022415,0.039678,0.070267,0.014981,0.189018,,,
20800,1.06779,0.141392,0.126698,0.117548,0.085309,0.015329,0.18989,,,
20900,0.916687,0.057738,0.026205,0.060201,0.063768,0.015126,0.189294,,,
21000,0.919588,0.10382,0.034063,0.038785,0.069065,0.015007,0.189151,,,
21100,0.934663,0.073151,0.041525,0.048276,0.074618,0.014906,0.188663,,,
21200,0.921552,0.032806,0.022396,0.039687,0.070191,0.014981,0.18902,,,
21300,0.921552,0.032805,0.022396,0.039687,0.070192,0.014981,0.18902,,,
21400,0.925479,0.102707,0.029691,0.041974,0.071249,0.014961,0.188904,,,
21500,0.900831,0.107705,0.079013,0.051777,0.063353,0.015189,0.190038,,,
21600,0.92155,0.032835,0.022395,0.039687,0.070191,0.014981,0.18902,,,
21700,0.92159,0.032824,0.022541,0.039676,0.070186,0.014981,0.18902,,,
21800,0.921361,0.072936,0.022406,0.039683,0.070213,0.014981,0.189019,,,
21900,0.923498,0.088153,0.02274,0.039693,0.070224,0.01498,0.189017,,,
22000,0.921305,0.069346,0.022576,0.039656,0.070182,0.014982,0.189022,,,
22100,0.921426,0.097909,0.022617,0.039652,0.070175,0.014982,0.189022,,,
22200,0.921538,0.081955,0.022684,0.039742,0.070175,0.014981,0.189017,,,
22300,0.921544,0.032779,0.022403,0.039685,0.070204,0.014981,0.189019,,,
22400,0.921544,0.03281,0.022404,0.039685,0.070204,0.014981,0.189019,,,
22500,0.921551,0.03279,0.022396,0.039687,0.07019,0.014981,0.18902,,,
22600,0.921535,0.039791,0.022386,0.039693,0.070118,0.014982,0.189022,,,
22700,0.921599,0.032897,0.022383,0.039694,0.070118,0.014982,0.189022,,,
22800,0.921604,0.032783,0.022381,0.039695,0.070112,0.014982,0.189022,,,
22900,0.942594,0.035448,0.0196,0.047759,0.043047,0.01511,0.190282,,,
23000,0.937679,0.035847,0.020677,0.043332,0.047839,0.015091,0.190063,,,
23100,0.935936,0.03915,0.021469,0.041945,0.047101,0.015102,0.190116,,,
23200,0.937608,0.038677,0.019986,0.043248,0.045318,0.015103,0.19015,,,
23300,0.938485,0.03573,0.01799,0.044917,0.045715,0.015099,0.190107,,,
23400,0.939105,0.032145,0.015153,0.047585,0.045998,0.0151,0.190063,,,
23500,0.937457,0.032414,0.015782,0.045873,0.047946,0.015095,0.190008,,,
23600,0.936919,0.032499,0.016081,0.045377,0.048537,0.015094,0.18999,,,
23700,0.928306,0.047988,0.02546,0.039151,0.042931,0.015207,0.190405,,,
23800,0.927314,0.049748,0.025273,0.038694,0.042667,0.015209,0.190422,,,
23900,0.93151,0.03228,0.015172,0.047151,0.046651,0.015133,0.190175,,,
24000,0.931425,0.032388,0.015349,0.046971,0.046697,0.015134,0.19018,,,
24100,0.929513,0.03662,0.019155,0.043638,0.046674,0.015155,0.190276,,,
24200,0.929749,0.035595,0.018582,0.044089,0.046934,0.015153,0.190262,,,
24300,0.929592,0.032401,0.015436,0.046075,0.048072,0.015153,0.19022,,,
24400,0.929065,0.032472,0.015744,0.045567,0.04872,0.015151,0.1902,,,
24500,0.928895,0.032426,0.015619,0.045675,0.048665,0.015151,0.190205,,,
24600,0.928885,0.032425,0.015641,0.045656,0.048676,0.015151,0.190206,,,
24700,0.928506,0.032529,0.015963,0.04528,0.04909,0.015152,0.190207,,,
24800,0.928807,0.032475,0.015753,0.045567,0.048722,0.015153,0.190217,,,
24900,0.927801,0.032456,0.016014,0.045026,0.049718,0.015149,0.190163,,,
25000,0.9278,0.032453,0.016018,0.045023,0.049721,0.015149,0.190163,,,
25100,0.927705,0.032504,0.015987,0.045061,0.049667,0.01515,0.190167,,,
25200,0.927664,0.032456,0.016016,0.045023,0.049724,0.01515,0.190165,,,
25300,0.927272,0.032574,0.01603,0.045208,0.049195,0.015158,0.190185,,,
25400,0.918187,0.037577,0.024655,0.049055,0.039211,0.015327,0.190601,,,
25500,0.918016,0.038056,0.024957,0.048832,0.039102,0.015328,0.190608,,,
25600,0.918034,0.038088,0.025169,0.048728,0.039052,0.015328,0.190609,,,
25700,0.918494,0.036395,0.023403,0.049622,0.039661,0.015325,0.190581,,,
25800,0.912592,0.042728,0.021537,0.042208,0.043175,0.015312,0.190415,,,
25900,0.913334,0.040398,0.02066,0.043133,0.043645,0.015307,0.190384,,,
26000,0.91279,0.041708,0.021222,0.042506,0.043486,0.015311,0.190405,,,
26100,0.913104,0.040785,0.020909,0.04287,0.043646,0.015309,0.190393,,,
26200,0.914122,0.032776,0.015376,0.048665,0.044674,0.015308,0.190286,,,
26300,0.91382,0.033103,0.016038,0.048696,0.044112,0.015316,0.19031,,,
26400,0.909203,0.040648,0.025295,0.046063,0.039234,0.015386,0.190554,,,
26500,0.905747,0.035059,0.01736,0.04473,0.047232,0.015346,0.190167,,,
26600,0.907419,0.087133,0.015418,0.04617,0.047805,0.015348,0.190139,,,
26700,0.90463,0.033248,0.015712,0.045544,0.048555,0.015346,0.190113,,,
26800,0.904417,0.033271,0.015831,0.045357,0.048811,0.015345,0.190104,,,
26900,0.904564,0.03325,0.015736,0.045499,0.048621,0.015346,0.19011,,,
27000,0.90393,0.033401,0.016241,0.044908,0.049298,0.015347,0.190109,,,
27100,0.903701,0.033402,0.016074,0.045028,0.049248,0.015347,0.190115,,,
27200,0.903318,0.033236,0.015845,0.045224,0.049156,0.015349,0.190127,,,
27300,0.90329,0.033236,0.015856,0.045204,0.049189,0.015349,0.190126,,,
27400,0.903077,0.033243,0.015949,0.045055,0.049434,0.015348,0.190118,,,
27500,0.903076,0.033246,0.015957,0.04505,0.049435,0.015348,0.190118,,,
27600,0.903063,0.033245,0.015958,0.045044,0.049449,0.015348,0.190117,,,
27700,0.893381,0.040114,0.023383,0.046214,0.042677,0.015469,0.19064,,,
27800,0.893047,0.042274,0.024308,0.043107,0.042424,0.015464,0.190649,,,
27900,0.890511,0.043942,0.022714,0.042337,0.041784,0.015478,0.190686,,,
28000,0.890865,0.042839,0.022062,0.042884,0.042058,0.015475,0.190669,,,
28100,0.890803,0.043026,0.022165,0.04279,0.042016,0.015476,0.190672,,,
28200,0.890972,0.042547,0.022042,0.042953,0.042109,0.015475,0.190666,,,
28300,0.89088,0.042438,0.022071,0.042806,0.042295,0.015475,0.190667,,,
28400,0.890726,0.042241,0.022207,0.042532,0.042662,0.015476,0.190668,,,
28500,0.889875,0.044424,0.02273,0.041758,0.04224,0.015482,0.190696,,,
28600,0.891362,0.038207,0.019927,0.045025,0.043212,0.015474,0.190626,,,
28700,0.890456,0.040294,0.022211,0.04407,0.042121,0.015485,0.190691,,,
28800,0.887723,0.04536,0.024056,0.040987,0.041953,0.015502,0.190773,,,
28900,0.888464,0.041681,0.021793,0.042491,0.043384,0.015488,0.190681,,,
29000,0.888128,0.042824,0.022195,0.042073,0.043048,0.015492,0.1907,,,
29100,0.888001,0.042546,0.021458,0.0424,0.043327,0.015487,0.19068,,,
29200,0.888888,0.038316,0.018949,0.044597,0.044478,0.015467,0.190614,,,
29300,0.887895,0.040576,0.020741,0.042909,0.044313,0.015476,0.19067,,,
29400,0.888125,0.040006,0.020584,0.043194,0.044295,0.015476,0.190666,,,
29500,0.888252,0.040422,0.021044,0.04349,0.043246,0.015484,0.190704,,,
29600,0.886198,0.043457,0.02226,0.041526,0.043701,0.015495,0.190744,,,
29700,0.886837,0.042633,0.022126,0.042074,0.043289,0.015497,0.190773,,,
29800,0.887249,0.041176,0.022126,0.04286,0.043089,0.015501,0.19077,,,
29900,0.884982,0.046733,0.024783,0.040488,0.041507,0.015521,0.190866,,,
30000,0.885994,0.0431,0.021981,0.042478,0.042548,0.015511,0.190803,,,
30100,0.886094,0.042728,0.021729,0.042697,0.042625,0.015511,0.190797,,,
30200,0.885728,0.041504,0.020996,0.042948,0.043468,0.015512,0.190788,,,
30300,0.884398,0.043569,0.020986,0.04299,0.042707,0.015525,0.190832,,,
30400,0.879732,0.035053,0.022373,0.052346,0.040422,0.015601,0.191017,,,
30500,0.878365,0.039824,0.027435,0.048116,0.038839,0.015607,0.191108,,,
30600,0.873857,0.041926,0.021382,0.042603,0.043702,0.015586,0.190882,,,
30700,0.873604,0.038366,0.018456,0.045788,0.043864,0.015581,0.190854,,,
30800,0.872235,0.033939,0.015237,0.049318,0.04507,0.015569,0.190804,,,
30900,0.868944,0.03437,0.015852,0.045618,0.048949,0.015557,0.190671,,,
31000,0.869083,0.034037,0.015147,0.046231,0.04878,0.015553,0.190655,,,
31100,0.868754,0.052283,0.015331,0.046007,0.049188,0.015552,0.190641,,,
31200,0.868071,0.034646,0.015601,0.045383,0.049996,0.015549,0.190618,,,
31300,0.868168,0.03775,0.018393,0.044135,0.046795,0.015575,0.19075,,,
31400,0.868245,0.03929,0.019741,0.043374,0.045767,0.015579,0.190799,,,
31500,0.868302,0.038951,0.019177,0.0438,0.045744,0.015578,0.1908,,,
31600,0.868698,0.039016,0.019102,0.044138,0.045119,0.015582,0.190835,,,
31700,0.867906,0.04072,0.020768,0.042975,0.044502,0.015595,0.190891,,,
31800,0.868242,0.040246,0.020537,0.04346,0.044164,0.015595,0.190894,,,
31900,0.868312,0.03995,0.020819,0.04352,0.044077,0.015598,0.190902,,,
32000,0.867229,0.043392,0.022944,0.041953,0.042803,0.015613,0.190975,,,
32100,0.86702,0.043342,0.021816,0.042415,0.042972,0.015606,0.190941,,,
32200,0.853612,0.043794,0.025268,0.039485,0.050701,0.015632,0.191315,,,
32300,0.85672,0.040652,0.022489,0.045005,0.041403,0.015708,0.192119,,,
32400,0.854414,0.042566,0.021627,0.042297,0.043592,0.0157,0.192022,,,
32500,0.855057,0.038791,0.020344,0.04444,0.043883,0.015699,0.191998,,,
32600,0.849885,0.048435,0.025845,0.039389,0.041717,0.015733,0.192187,,,
32700,0.851676,0.042235,0.022148,0.042598,0.04301,0.015717,0.192086,,,
32800,0.85075,0.043714,0.022437,0.041779,0.043113,0.015724,0.192116,,,
32900,0.847857,0.044189,0.025651,0.042616,0.041216,0.015766,0.192296,,,
33000,0.845891,0.043792,0.022345,0.042038,0.043114,0.015768,0.192282,,,
33100,0.841786,0.042547,0.021569,0.042427,0.043813,0.0158,0.192251,,,
33200,0.841915,0.042682,0.021896,0.042426,0.04344,0.015801,0.192259,,,
33300,0.83973,0.042601,0.024783,0.043723,0.041674,0.015838,0.192416,,,
33400,0.839099,0.04233,0.02226,0.043266,0.042544,0.015828,0.192374,,,
33500,0.838577,0.042651,0.022371,0.042518,0.043173,0.015831,0.192381,,,
33600,0.837541,0.044568,0.022855,0.041431,0.043265,0.015837,0.192406,,,
33700,0.836999,0.039846,0.019433,0.045419,0.043409,0.015834,0.192335,,,
33800,0.832489,0.03427,0.015905,0.050375,0.044412,0.015851,0.192231,,,
33900,0.829025,0.034855,0.015745,0.045785,0.048765,0.015837,0.192088,,,
34000,0.828965,0.035981,0.017091,0.044898,0.048086,0.015851,0.192172,,,
34100,0.826974,0.040005,0.020855,0.041957,0.047736,0.01588,0.19229,,,
34200,0.827662,0.040995,0.019907,0.042615,0.046188,0.015883,0.192329,,,
34300,0.828817,0.039162,0.01912,0.043865,0.045541,0.015882,0.192335,0.082574674,0.08256744,8.7618E-05
